"Year","Estimated Value","Sale Price","num_rooms","num_bathrooms","carpet_area","property_tax_rate","Date","Locality","Property","Residential","Face"
2009,111440,185000,3,3,NA,1.025953,2009-01-02,"Waterbury","Single Family","Detached House","South"
2009,73080,152000,3,1,935,1.025953,2009-01-02,NA,"Single Family","Detached House","North"
2009,50540,105000,3,1,951,1.025953,2009-01-02,"Waterbury","Single Family","Detached House","East"
2009,571060,1e+06,3,2,NA,1.025953,2009-01-02,"Norwalk","Single Family","Detached House","South"
2009,4775276,272900,3,1,NA,1.025953,2009-01-02,"Bridgeport","Single Family","Detached House","East"
2009,NA,5187000,3,2,1026,1.025953,2009-01-02,"Greenwich","?","Detached House","South"
2009,NA,1340000,3,1,936,1.025953,2009-01-03,"Norwalk","Single Family","Detached House","North"
2009,172620,409000,3,3,1004,1.025953,2009-01-03,"Norwalk","?","Detached House","South"
2009,NA,410000,4,3,1498,1.025953,2009-01-04,"Bridgeport","Two Family","Duplex","West"
2009,NA,176000,3,1,1008,1.025953,2009-01-04,"Waterbury","?","Detached House","North"
2009,208880,370000,3,2,1063,1.025953,2009-01-04,"Norwalk","Single Family","Detached House","South"
2009,83300,220000,4,4,1471,1.025953,2009-01-04,"Waterbury","Two Family","Duplex","South"
2009,NA,284280,3,3,1015,1.025953,2009-01-05,"Bridgeport","?","Detached House","South"
2009,73990,195000,3,1,960,1.025953,2009-01-05,NA,"Single Family","Detached House","North"
2009,2095100,2860000,3,1,963,1.025953,2009-01-05,"Greenwich","Single Family","Detached House","East"
2009,186410,340000,30,2,933,1.025953,2009-01-05,"Norwalk","Single Family","Detached House","East"
2009,1162140,1990000,3,1,NA,1.025953,2009-01-05,"Greenwich","Single Family","Detached House","North"
20090,71960,219000,6,4,NA,1.025953,2009-01-05,NA,"?","Triplex","South"
2009,NA,3235000,3,1,1026,1.025953,2009-01-08,"Greenwich","?","Detached House","West"
2009,56070,75000,4,2,NA,1.025953,2009-01-08,"Waterbury","Two Family","Duplex","West"
2009,160904,399900,4,2,NA,1.025953,2009-01-08,"Bridgeport","Two Family","Duplex","East"
2009,342090,850000,3,1,914,1.025953,2009-01-08,"Norwalk","Single Family","Detached House","East"
2009,71050,280000,4,3,1295,1.025953,2009-01-08,"Bridgeport","Two Family","Duplex","East"
2009,60483,144500,3,1,1095,1.025953,2009-01-08,"Bridgeport","?","Detached House","East"
2009,75250,205000,3,2,NA,1.025953,2009-01-08,NA,"Single Family","Detached House","East"
2009,135870,362560,4,2,1338,1.025953,2009-01-09,"Bridgeport","Two Family","Duplex","West"
2009,154210,412000,NA,1,NA,1.025953,2009-01-09,"Norwalk","Single Family","Detached House","South"
2009,NA,269900,3,1,1008,1.025953,2009-01-10,"Bridgeport","Single Family","Detached House","West"
2009,2498720,4e+06,3,2,NA,1.025953,2009-01-10,"Greenwich","Single Family","Detached House","North"
2009,121870,305000,6,6,NA,1.025953,2009-01-10,NA,"Three Family","Triplex","South"
2009,693280,1820000,3,3,NA,1.025953,2009-01-11,"Greenwich","?","Detached House","East"
2009,2215010,2925000,3,2,1065,1.025953,2009-01-12,"Greenwich","Single Family","Detached House","West"
2009,1017400,1052000,3,2,984,1.025953,2009-01-12,"Greenwich","Single Family","Detached House","East"
2009,NA,133000,3,3,1039,1.025953,2009-01-12,"Bridgeport","Single Family","Detached House","South"
2009,68838,145000,3,2,NA,1.025953,2009-01-12,"Bridgeport","Single Family","Detached House","East"
2009,159460,384000,6,4,2131,1.025953,2009-01-16,"Bridgeport","Three Family","Triplex","West"
2009,93521,202500,3,2,952,1.025953,2009-01-16,"Bridgeport","Single Family","Detached House","East"
2009,186970,5e+05,4,2,1389,1.025953,2009-01-16,NA,"Two Family","Duplex","West"
2009,212240,437000,3,3,967,1.025953,2009-01-16,"Norwalk","Single Family","Detached House","West"
2009,NA,265000,6,5,1892,1.025953,2009-01-17,"Waterbury","Three Family","Triplex","South"
2009,115290,289900,3,1,NA,1.025953,2009-01-17,"Bridgeport","Single Family","Detached House","South"
2009,NA,75000,3,3,977,1.025953,2009-01-17,"Bridgeport","Single Family","Detached House","West"
2009,NA,2695000,3,1,983,1.025953,2009-01-17,"Greenwich","?","Detached House","South"
2009,128381,330000,3,3,959,1.025953,2009-01-18,"Bridgeport","Single Family","Detached House","North"
2009,875700,NA,3,1,NA,1.025953,2009-01-18,"Greenwich","Single Family","Detached House","East"
2009,1452500,2e+06,3,2,973,1.025953,2009-01-18,"Greenwich","?","Detached House","North"
2009,NA,137000,3,1,1079,1.025953,2009-01-19,"Bridgeport","Single Family","Detached House","North"
2009,257600,450000,3,1,NA,1.025953,2009-01-19,NA,"Single Family","Detached House","East"
2009,53200,289000,3,3,NA,1.025953,2009-01-22,"Waterbury","Single Family","Detached House","North"
2009,417904,232677,6,5,1819,1.025953,2009-01-22,"Bridgeport","Three Family","Triplex","West"
2009,105560,224500,3,1,1062,1.025953,2009-01-23,"Bridgeport","Single Family","Detached House","East"
2009,545860,720000,3,2,NA,1.025953,2009-01-23,"Fairfield","Single Family","Detached House","East"
2009,198310,422000,3,1,954,1.025953,2009-01-23,"Norwalk","Single Family","Detached House","East"
2009,423850,740000,3,2,NA,1.025953,2009-01-24,"Norwalk","?","Detached House","West"
2009,1152270,1750000,3,3,1040,1.025953,2009-01-24,"Greenwich","Single Family","Detached House",NA
2009,60270,154000,3,2,1030,1.025953,2009-01-24,"Waterbury","Single Family","Detached House","East"
2009,451500,1e+06,3,1,1064,1.025953,2009-01-26,"Fairfield","Single Family","Detached House","South"
2009,7167580,105000,3,3,919,1.025953,2009-01-26,NA,"Single Family","Detached House","East"
2009,17500,29000,3,2,NA,1.025953,2009-01-26,NA,"Single Family","Detached House","South"
2009,117670,249900,3,3,NA,1.025953,2009-01-26,"Bridgeport","Single Family","Detached House","North"
2009,735350,1300000,3,3,1097,1.025953,2009-01-26,NA,"Single Family","Detached House","West"
2009,78050,82500,3,2,934,1.025953,2009-01-27,NA,"Single Family","Detached House","North"
2009,2501660,4475000,3,1,NA,1.025953,2009-01-29,NA,"Single Family","Detached House","West"
2009,350000,1600000,3,2,904,1.025953,2009-01-29,"Norwalk","Single Family","Detached House","East"
2009,352380,4e+05,3,2,955,1.025953,2009-01-29,"Fairfield","?","Detached House","South"
2009,NA,510000,3,1,1080,1.025953,2009-01-29,"Norwalk","Single Family","Detached House","South"
2009,59010,129900,3,1,NA,1.025953,2009-01-30,"Waterbury","Single Family","Detached House","South"
2009,1954890,2700000,3,3,1034,1.025953,2009-01-30,"Norwalk","Single Family","Detached House","South"
2009,412440,712500,3,3,1041,1.025953,2009-01-30,"Norwalk","?","Detached House","East"
2009,6246170,8500000,3,1,1080,1.025953,2009-01-31,"Greenwich","Single Family","Detached House","South"
2009,2540720,3845000,3,3,NA,1.025953,2009-01-31,"Greenwich","Single Family","Detached House","East"
